relative_path,line_number,keywords,line
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,519,surv,y_test = _make_surv(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,531,tau,"quantile=UNO_TAU_QUANTILE,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,543,surv,survival = (
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,544,breslow;surv,_breslow_survival_from_fixed_risk(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,553,brier;integrated_brier,ibs = m04c.integrated_brier_custom(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,556,surv,"survival,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,589,fold,def fit_predict_fold(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,595,repeat,"repeat: int,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,596,fold;outer,"outer_fold: int,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,600,fold;outer,Fit/predict all frozen TARGET models for one outer fold.
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,629,surv,y_train = _make_surv(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,646,repeat,+ int(repeat) * 100
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,647,fold;outer,+ int(outer_fold)
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,815,repeat,+ int(repeat) * 100003
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,816,fold;outer,+ int(outer_fold) * 1009
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1003,repeat,def _aggregate_repeat_metric(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1004,fold,"fold_frame: pd.DataFrame,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1007,repeat,repeat_values = []
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1009,fold,"for _, part in fold_frame.groupby("
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1010,repeat,"""repeat"""
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1026,fold;outer;repeat,# A repeat is valid only if all 5 frozen outer folds are evaluable.
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1028,outer,len(part) != OUTER_SPLITS
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1035,repeat,repeat_values.append(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1045,repeat,len(repeat_values)
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1046,repeat,< MIN_VALID_REPEATS
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1050,repeat,"len(repeat_values),"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1056,repeat,repeat_values
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1059,repeat,"len(repeat_values),"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1270,outer,< OUTER_SPLITS
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1272,outer,< OUTER_SPLITS
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1275,censor,"""TARGET event/censor counts cannot """
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1276,fold,"""support frozen 5-fold stratification."""
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1285,fold,fold_rows = []
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1289,repeat,for repeat in range(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1290,outer;repeat,OUTER_REPEATS
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1292,fold,splitter = StratifiedKFold(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1293,outer,"n_splits=OUTER_SPLITS,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1297,repeat,+ repeat
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1302,fold;outer,"outer_fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1304,train_idx,"train_idx,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1305,test_idx,"test_idx,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1313,fold,fitted = fit_predict_fold(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1314,train_idx,"X_raw[train_idx],"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1315,test_idx,"X_raw[test_idx],"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1316,train_idx,"time_values[train_idx],"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1317,train_idx,"event_values[train_idx],"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1318,repeat,"repeat=repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1319,fold;outer,"outer_fold=outer_fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1323,train_idx,for idx in train_idx:
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1325,repeat,"""repeat"": repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1326,fold;outer,"""outer_fold"": outer_fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1333,test_idx,for idx in test_idx:
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1335,repeat,"""repeat"": repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1336,fold;outer,"""outer_fold"": outer_fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1344,fold,metrics = _fold_metrics(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1346,train_idx,"time_values[train_idx],"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1347,train_idx,"event_values[train_idx],"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1348,test_idx,"time_values[test_idx],"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1349,test_idx,"event_values[test_idx],"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1358,fold,fold_rows.append({
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1359,repeat,"""repeat"": repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1360,fold;outer,"""outer_fold"": outer_fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1363,train_idx,train_idx
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1367,train_idx,train_idx
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1371,test_idx,test_idx
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1375,test_idx,test_idx
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1385,test_idx,test_idx
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1388,repeat,"""repeat"": repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1389,fold;outer,"""outer_fold"": outer_fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1425,repeat,"part[""repeat""] = repeat"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1426,fold;outer,"part[""outer_fold""] = ("
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1427,fold;outer,outer_fold
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1439,fold,folds = pd.DataFrame(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1440,fold,fold_rows
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1456,fold,folds.to_csv(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1458,fold,"/ ""TARGET_fold_metrics.tsv"","
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1478,fold,part = folds[
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1479,fold,"folds[""model_id""]"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1484,repeat,_aggregate_repeat_metric(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1490,repeat,_aggregate_repeat_metric(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1496,repeat,_aggregate_repeat_metric(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1502,repeat,_aggregate_repeat_metric(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1511,repeat,"""uno_valid_repeats"": nrep_c,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1513,repeat,"""ibs_valid_repeats"": nrep_ibs,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1515,repeat,"""risk_sd_valid_repeats"": nrep_sd,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1517,repeat,"""risk_q99_q01_valid_repeats"": nrep_q,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1553,repeat,# Patient-clustered paired bootstrap of FIXED repeated-CV predictions.
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1560,repeat,"repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1561,fold,"fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1565,repeat,"""repeat"","
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1566,fold;outer,"""outer_fold"","
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1572,repeat,"int(repeat),"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1573,fold,"int(fold),"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1581,repeat,"repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1582,fold,"fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1585,repeat,"""repeat"","
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1586,fold;outer,"""outer_fold"","
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1589,train_idx,train_idx = (
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1599,test_idx,test_idx = (
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1611,repeat,"int(repeat),"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1612,fold,"int(fold),"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1615,train_idx,"train_idx,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1616,test_idx,"test_idx,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1689,fold,draw_fold_rows = []
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1692,repeat,for repeat in range(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1693,outer;repeat,OUTER_REPEATS
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1695,fold,for fold in range(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1696,outer,OUTER_SPLITS
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1699,train_idx,"train_idx,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1700,test_idx,"test_idx,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1703,repeat,"repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1704,fold,"fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1712,test_idx,for idx in test_idx:
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1733,surv,y_train = _make_surv(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1735,train_idx,train_idx
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1738,train_idx,train_idx
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1742,surv,y_boot = _make_surv(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1754,repeat,"repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1755,fold,"fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1787,tau,UNO_TAU_QUANTILE
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1795,fold,draw_fold_rows.append({
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1796,repeat,"""repeat"": repeat,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1797,fold;outer,"""outer_fold"": fold,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1814,fold,draw_folds = pd.DataFrame(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1815,fold,draw_fold_rows
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1822,repeat,_aggregate_repeat_metric(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1823,fold,draw_folds[
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1824,fold,draw_folds[
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,1836,repeat,< MIN_VALID_REPEATS
results\human_posthold_descriptive\05f3f\summary.json,19,censor,"""TARGET_censored"": 57,"
results\human_posthold_descriptive\05f3f\summary.json,30,fold,"""TARGET_fold_metrics.tsv"": ""05b8426dcd7d35ef8689ccaa8bf0ae9015a8723c0919a30180da7a88c5d0cba4"","
results\human_posthold_descriptive\05f3f\summary.json,39,fold,"""fold_metrics_sha256"": ""05b8426dcd7d35ef8689ccaa8bf0ae9015a8723c0919a30180da7a88c5d0cba4"","
results\human_posthold_descriptive\05f3f\TARGET86_execution_input_audit.json,7,censor,"""censored"": 57,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,27,fold,from sklearn.model_selection import StratifiedKFold
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,28,surv,from sksurv.util import Surv
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,66,outer,OUTER_SPLITS = 5
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,67,outer;repeat,OUTER_REPEATS = 20
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,75,repeat,MIN_VALID_REPEATS = 16
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,78,tau,UNO_TAU_QUANTILE = 0.90
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,289,surv,def _make_surv(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,293,surv,return Surv.from_arrays(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,384,breslow;surv,def _breslow_survival_from_fixed_risk(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,389,eval_times,"eval_times: np.ndarray,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,392,breslow,Target-training-only Breslow baseline recalibration for a fixed risk score.
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,413,eval_times,eval_times = np.asarray(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,414,eval_times,"eval_times,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,424,breslow,"""Non-finite Breslow input."""
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,462,breslow,"""Invalid Breslow risk-set sum."""
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,478,eval_times,"eval_times,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,483,eval_times,"len(eval_times),"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,506,fold,def _fold_metrics(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,515,surv,y_train = _make_surv(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,519,surv,y_test = _make_surv(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,531,tau,"quantile=UNO_TAU_QUANTILE,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,543,surv,survival = (
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,544,breslow;surv,_breslow_survival_from_fixed_risk(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,553,brier;integrated_brier,ibs = m04c.integrated_brier_custom(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,556,surv,"survival,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,589,fold,def fit_predict_fold(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,595,repeat,"repeat: int,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,596,fold;outer,"outer_fold: int,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,600,fold;outer,Fit/predict all frozen TARGET models for one outer fold.
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,629,surv,y_train = _make_surv(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,646,repeat,+ int(repeat) * 100
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,647,fold;outer,+ int(outer_fold)
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,815,repeat,+ int(repeat) * 100003
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,816,fold;outer,+ int(outer_fold) * 1009
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1003,repeat,def _aggregate_repeat_metric(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1004,fold,"fold_frame: pd.DataFrame,"
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1007,repeat,repeat_values = []
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1009,fold,"for _, part in fold_frame.groupby("
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1010,repeat,"""repeat"""
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1026,fold;outer;repeat,# A repeat is valid only if all 5 frozen outer folds are evaluable.
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1028,outer,len(part) != OUTER_SPLITS
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1035,repeat,repeat_values.append(
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1045,repeat,len(repeat_values)
results\human_posthold_descriptive\05f3d\runner\frozen_TARGET86_evaluation_runner_v3.py,1046,repeat,< MIN_VALID_REPEATS
